movie_id,title,genres,release_date,poster_link
572802,Aquaman and the Lost Kingdom,Action|Adventure|Fantasy,2023-12-20,https://image.tmdb.org/t/p/original/7lTnXOy0iNtBAdRP3TZvaKJ77F6.jpg
787699,Wonka,Comedy|Family|Fantasy,2023-12-06,https://image.tmdb.org/t/p/original/qhb1qOilapbapxWQn9jtRCMwXJF.jpg
1022796,Wish,Animation|Family|Fantasy|Adventure,2023-11-13,https://image.tmdb.org/t/p/original/AcoVfiv1rrWOmAdpnAMnM56ki19.jpg
940551,Migration,Animation|Adventure|Comedy|Family|Action,2023-12-06,https://image.tmdb.org/t/p/original/ldfCF9RhR40mppkzmftxapaHeTo.jpg
609681,The Marvels,Science Fiction|Adventure|Action,2023-11-08,https://image.tmdb.org/t/p/original/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg
1212073,Sixty Minutes,Action|Drama,2024-01-19,https://image.tmdb.org/t/p/original/PNlmsYn9ZhgnPQupUEgoP7H73X.jpg
965571,Patriots Time,Action|War,2022-04-28,https://image.tmdb.org/t/p/original/A4QM6oF4UNNhQh1f9pRdXvyKW5s.jpg
1058694,Radical,Drama,2023-10-19,https://image.tmdb.org/t/p/original/eSatbygYZp8ooprBHZdb6GFZxGB.jpg
799155,Attack,Action|Science Fiction|Thriller,2022-04-01,https://image.tmdb.org/t/p/original/5jGKbYuZtdxSNOocI6ZziQeiY4n.jpg
955916,Lift,Action|Comedy|Crime|Drama,2024-01-10,https://image.tmdb.org/t/p/original/gma8o1jWa6m0K1iJ9TzHIiFyTtI.jpg
753342,Napoleon,History|War|Drama,2023-11-22,https://image.tmdb.org/t/p/original/vcZWJGvB5xydWuUO1vaTLI82tGi.jpg
906126,Society of the Snow,Drama|History,2023-12-13,https://image.tmdb.org/t/p/original/2e853FDVSIso600RqAMunPxiZjq.jpg
866398,The Beekeeper,Action|Thriller|Drama,2024-01-10,https://image.tmdb.org/t/p/original/A7EByudX0eOzlkQ2FIbogzyazm2.jpg
1072790,Anyone But You,Comedy|Romance,2023-12-21,https://image.tmdb.org/t/p/original/yRt7MGBElkLQOYRvLTT1b3B1rcp.jpg
848187,Role Play,Action|Comedy|Romance,2023-12-14,https://image.tmdb.org/t/p/original/7MhXiTmTl16LwXNPbWCmqxj7UxH.jpg
508883,The Boy and the Heron,Animation|Adventure|Fantasy,2023-07-14,https://image.tmdb.org/t/p/original/jDQPkgzerGophKRRn7MKm071vCU.jpg
792307,Poor Things,Science Fiction|Romance|Comedy,2023-12-07,https://image.tmdb.org/t/p/original/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg
872585,Oppenheimer,Drama|History,2023-07-19,https://image.tmdb.org/t/p/original/ptpr0kGAckfQkJeJIt8st5dglvd.jpg
982940,Due Justice,Crime|Thriller|Action,2023-11-24,https://image.tmdb.org/t/p/original/35Uef7fz9ctYbJLXbJBCqvtttEQ.jpg
1028703,The OctoGames,Thriller|Action|Horror,2022-10-07,https://image.tmdb.org/t/p/original/qGz5rffXhegQH5PGUDiObqoOt06.jpg
933131,Badland Hunters,Action|Science Fiction|Drama,2024-01-26,https://image.tmdb.org/t/p/original/zVMyvNowgbsBAL6O6esWfRpAcOb.jpg
899445,Deep Fear,Action|Mystery|Thriller|Horror,2023-10-18,https://image.tmdb.org/t/p/original/ms1omYCnhnO3eDOI88tfiy6SaoX.jpg
926599,All Fun and Games,Horror|Thriller,2023-08-30,https://image.tmdb.org/t/p/original/1m0CTxlotr8H8GaoioL2IJHL1gW.jpg
1230393,Monsters 103 Mercies Dragon Damnation,Animation|Action|Fantasy|Adventure,2024-01-21,https://image.tmdb.org/t/p/original/yG8QKnaiz7JoIMh3oxdm0JJN6IG.jpg
1029575,The Family Plan,Action|Comedy,2023-12-14,https://image.tmdb.org/t/p/original/a6syn9qcU4a54Lmi3JoIr1XvhFU.jpg
385687,Fast X,Action|Crime|Thriller,2023-05-17,https://image.tmdb.org/t/p/original/fiVW06jE7z9YnO4trhaMEdclSiC.jpg
1211957,The Painter,Action|Thriller,2024-01-05,https://image.tmdb.org/t/p/original/UZ0ydgbXtnrq8xZCI5lHVXVcH9.jpg
918692,Granit,Action|War,2021-12-29,https://image.tmdb.org/t/p/original/zLJn4U2qlWIzlFP5SsyFJUDQjfs.jpg
810271,The Resort,Horror,2021-04-30,https://image.tmdb.org/t/p/original/bXZUVJP8Fr3RId7SSsV4RXvjnIh.jpg
1214314,One More Shot,Action|Thriller,2024-01-12,https://image.tmdb.org/t/p/original/nQ1BQg4yMdlYSHvHZgwladzy7EF.jpg
466420,Killers of the Flower Moon,Crime|History|Drama,2023-10-18,https://image.tmdb.org/t/p/original/dB6Krk806zeqd0YNp2ngQ9zXteH.jpg
695721,The Hunger Games: The Ballad of Songbirds & Snakes,Drama|Science Fiction|Action,2023-11-15,https://image.tmdb.org/t/p/original/mBaXZ95R2OxueZhvQbcEWy2DqyO.jpg
346698,Barbie,Comedy|Adventure|Fantasy,2023-07-19,https://image.tmdb.org/t/p/original/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg
924763,Weekend Warriors,Action|Thriller,2021-04-01,https://image.tmdb.org/t/p/original/uGyZZODYqcYINRPIgaHbMmawQ2I.jpg
863851,Mírame,Horror,2021-08-20,https://image.tmdb.org/t/p/original/cF0pwv6ce82pPVCIEzB5ArnuIZx.jpg
1155089,Justice League: Crisis on Infinite Earths Part One,Animation|Science Fiction|Action,2024-01-09,https://image.tmdb.org/t/p/original/zR6C66EDklgTPLHRSmmMt5878MR.jpg
901362,Trolls Band Together,Animation|Family|Music|Fantasy|Comedy,2023-10-12,https://image.tmdb.org/t/p/original/bkpPTZUdq31UGDovmszsg2CchiI.jpg
603692,John Wick: Chapter 4,Action|Thriller|Crime,2023-03-22,https://image.tmdb.org/t/p/original/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg
897087,Freelance,Action|Comedy,2023-10-05,https://image.tmdb.org/t/p/original/7Bd4EUOqQDKZXA6Od5gkfzRNb0.jpg
1216784,Sunrise,Horror|Thriller,2024-01-19,https://image.tmdb.org/t/p/original/4aRvg2ybz646gciX5M6qaclunC2.jpg
667538,Transformers: Rise of the Beasts,Action|Adventure|Science Fiction,2023-06-06,https://image.tmdb.org/t/p/original/gPbM0MK8CP8A174rmUwGsADNYKD.jpg
940721,Godzilla Minus One,Science Fiction|Horror|Action,2023-11-03,https://image.tmdb.org/t/p/original/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg
891699,Silent Night,Action|Adventure|Thriller,2023-11-30,https://image.tmdb.org/t/p/original/nJCP1ZNTPKlZ7S0Kv3gbmuraAT4.jpg
1071215,Thanksgiving,Horror|Mystery|Thriller,2023-11-16,https://image.tmdb.org/t/p/original/f5f3TEVst1nHHyqgn7Z3tlwnBIH.jpg
848326,Rebel Moon - Part One: A Child of Fire,Science Fiction|Drama|Action,2023-12-15,https://image.tmdb.org/t/p/original/ui4DrH1cKk2vkHshcUcGt2lKxCm.jpg
569094,Spider-Man: Across the Spider-Verse,Animation|Action|Adventure|Science Fiction,2023-05-31,https://image.tmdb.org/t/p/original/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg
502356,The Super Mario Bros. Movie,Animation|Family|Adventure|Fantasy|Comedy,2023-04-05,https://image.tmdb.org/t/p/original/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
76600,Avatar: The Way of Water,Science Fiction|Adventure|Action,2022-12-14,https://image.tmdb.org/t/p/original/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
